Reference,Prediction,WER
विखंडन बम इस सिद्धांत पर काम करता है कि कई प्रोटॉन और न्यूट्रॉन वाले एक नाभिक को एक साथ रखने के लिए ऊर्जा लगती है।,बिखंडन बम इस सिधान्त पर काम करता है कि कई प्रोटॉन और न्यूट्रॉन वाले एक नाभिक को एक साथ रखने के लिए उर्जा लगती है,0.16
हर कोई समाज से जुड़ा होता है और ट्रांसपोर्ट सिस्टम का उपयोग करता है. लगभग सभी लोग ट्रांसपोर्ट सिस्टम के बारे में शिकायत करते हैं.,फर कोई समाज से जुड़ा होता है और ट्रांस्पूर्ट सिस्टम का ऊपियोग करता है लगभग सभी लोग ट्रांस्पूर्ट सिस्टम के बारे में शिकायत करते हैं,0.24
"यहूदी और गैर-यहूदी की तरह, अभी भी ऐसे कई पुरुष और महिलाएं जीवित हैं जो उस समय बचने में सफल रहे और कई जिनके प्रियजनों को मार दिया गया या उनके मरने तक उनसे काम करवाया गया.",येहूदी और गैयाव यहूदी कितारा अभी भी ऐसे कई पूरुशव महिलाएं जीविद हैं जो उस समयं बचने में सफल रहे और कई जिनके प्रियाजनों को मार दिया गया या उनके मरने तक उनसे काम करवाया गया,0.2702702702702703
सामान के ट्रांसपोर्ट के लिए जहाज़ों का इस्तेमाल करना समुद्रों के एक सिरे से दूसरे सिरे तक बड़ी मात्रा में लोगों और सामान को लाने और ले जाने का बहुत ज़्यादा प्रभावी तरीका है.,शमान के ट्रास्फोट के लिए जहाजों का इस्तमाल करना समुद्रों के एक सीरे से दूसरे सीरे तक बड़ी बात्रा में लोगों और शमान को लाने और ले जाने का बहुत स्यादा प्रभावित तरीका है,0.3235294117647059
"ऐसा माना जाता है कि पेरिस के निवासी अहंकारी, असभ्य और अभिमानी होते हैं।",ऐसा माना जाता है कि पैरिस के निवासी आहांकारी असब्दें और अभीमानी होते हैं,0.35714285714285715
"इटैलियन भी रोज़ाना इस्तेमाल होने वाली भाषा है जिसे राज्य में काम करने वाले अधिकांश लोग उपयोग में लाते हैं, जबकि लेटिन का धार्मिक रस्मों में इस्तेमाल किया जाता है.",इट्टालियन भी रोजाना इस्तेमाल होने वाली भाशा है जिसे राज में काम करने वाले अधिकान स्लोग उप्योग में लाते हैं जब की लेटिन का धार्मिक रस्मों में इस्तेमाल किया जाता है,0.36666666666666664
आमतौर पर आप हमेशा पर्यटकों और बेचने वालों की आवाज़ सुनते हैं. ध्वनि और प्रकाश की कहानी स्टोरी बुक जैसी है.,आम तौर पर आप हमेशा परेटवों और वेचने वालों की आवाज सुनते हैं ध्वनी और प्रकाश की कहानी स्टोरी बुक जैसी है,0.38095238095238093
"अगर आपने फ़िल्म नेशनल ट्रेज़र देखी है, तो आपको लगेगा कि स्वतंत्रता के घोषणा-पत्र के पीछे एक ख़ज़ाने का नक्शा लिखा गया था.",अगर आपने फिल्म नेशनल ट्रेजर देखी है तो आपको लगेगा कि सुतनस्ता के घूशनापत्र के पीछे एक खाजाने का नक्सा लिखा वैया था,0.391304347826087
महिलाएँ: यह अनुशंसा की जाती है कि कोई भी महिला यात्री वास्तविक वैवाहिक स्थिति के बावजूद कहती है कि वह विवाहित है.,हिलाए या अनुशनशा की जाती है कि कोई भी महिला यात्री वास्तविक विवाईक्स्तिति के बावजूत कहती है कि वो विवाईत है,0.4090909090909091
अक्टूबर में शुरू हुए व्यापक शासन विरोधी प्रदर्शनों के लिए आयोग का गठन मार्टेली की प्रतिक्रिया स्वरूप हुआ था.,अब्टूबर में शुरू हुए व्यापक शासन विरोदी प्रधर्शनों के लिए आयों का घटान माटेली की प्रतिक्रिया स्वरूब हुआ था,0.42105263157894735
"अधिकांश छोटे द्वीप स्वतंत्र राष्ट्र हैं, या फ़्रांस से संबंधित हैं और लग्ज़री बीच रिसॉर्ट के रूप में जाने जाते हैं.",अधिकार्ष छोटे दुईप स्वतंत्र राश्ट्र हैं या फ्रांच से संबंदेत हैं और ग्लाजरी बीच रिजोट के रूप में जाने जाते हैं,0.42857142857142855
विशेष रूप से सवाना पर बेहतरीन अफ़्रीकी वन्य जीवन को संपूर्ण रूप से देखने के लिए आमतौर पर सफ़ारी शब्द का उपयोग किया जाता है.,विशेश रूप से सवाना पर बेहतरीन अफ्रीगी वन ने जीवन को संपून रूप से देखने के लिए आम तोर प्र सफारी शब्द का उप्योग किया जाता है,0.44
